520,23,0.04,-403,Loss
521,21,0.03,-411,Loss
522,9,0.03,-429,Loss
523,8,0.03,-438,Loss
524,17,0.04,-407,Loss
525,26,0.02,-376,Loss
526,27,0.02,-367,Loss
527,8,0.03,-438,Loss
528,8,0.03,-438,Loss
529,59,0.03,-439,Loss
530,21,0.04,-411,Loss
531,30,0.02,-380,Loss
532,14,0.02,-384,Loss
533,8,0.03,-438,Loss
534,8,0.03,-438,Loss
535,17,0.04,-397,Loss
536,9,0.03,-429,Loss
537,8,0.03,-438,Loss
538,71,0.04,-451,Loss
539,51,0.06,-381,Loss
540,9,0.02,-429,Loss
541,8,0.03,-438,Loss
542,51,0.03,-431,Loss
543,23,0.02,-383,Loss
544,8,0.03,-438,Loss
545,48,0.04,-428,Loss
546,27,0.01,-307,Loss
547,9,0.03,-429,Loss
548,47,0.02,-407,Loss
549,39,0.03,-399,Loss
550,9,0.03,-429,Loss
551,9,0.03,-429,Loss
552,75,0.04,-445,Loss
553,20,0.02,-380,Loss
554,8,0.03,-438,Loss
555,15,0.02,-405,Loss
556,8,0.03,-438,Loss
557,39,0.03,-389,Loss
558,11,0.04,-401,Loss
559,14,0.02,-384,Loss
560,59,0.04,-439,Loss
561,9,0.02,-429,Loss
562,47,0.04,-437,Loss
563,11,0.03,-401,Loss
564,14,0.03,-404,Loss
565,8,0.03,-438,Loss
566,8,0.03,-438,Loss
567,17,0.05,-397,Loss
568,8,0.03,-438,Loss
569,8,0.03,-438,Loss
570,8,0.03,-438,Loss
571,17,0.03,-407,Loss
572,17,0.04,-407,Loss
573,35,0.04,-425,Loss
574,23,0.03,-383,Loss
575,15,0.02,-405,Loss
576,8,0.03,-438,Loss
577,11,0.03,-401,Loss
578,8,0.03,-438,Loss
579,51,0.03,-401,Loss
580,26,0.03,-406,Loss
581,14,0.03,-404,Loss
582,81,0.04,-461,Loss
583,11,0.03,-401,Loss
584,38,0.04,-418,Loss
585,9,0.03,-429,Loss
586,29,0.02,-379,Loss
587,35,0.02,-385,Loss
588,8,0.03,-438,Loss
589,8,0.03,-438,Loss
590,32,0.01,-302,Loss
591,11,0.02,-431,Loss
592,8,0.03,-438,Loss
593,80,0.03,-420,Loss
594,42,0.02,-382,Loss
595,43,0.03,-303,Loss
596,47,0.02,-317,Loss
597,18,0.03,-388,Loss
598,12,0.02,-412,Loss
